CustomerID,Gender,Age,Subscription_Type,Tenure_Months,Monthly_Spend,Support_Tickets,Payment_Method,Auto_Renew,Total_Spend,Churn
CUST00001,Male,22,Premium,3,42.3,1,Card,Yes,126.9,0
CUST00002,Female,64,Premium,54,10.23,1,Wallet,No,552.42,0
CUST00003,Male,40,Basic,45,13.36,2,Wallet,No,601.2,1
CUST00004,Male,66,Premium,40,43.32,1,Bank Transfer,Yes,1732.8,0
CUST00005,Male,26,Premium,7,17.67,0,Bank Transfer,Yes,123.69,0
CUST00006,Female,52,Basic,27,18.3,1,Bank Transfer,Yes,494.1,0
CUST00007,Male,37,Premium,1,16.24,3,Bank Transfer,Yes,16.24,0
CUST00008,Male,66,Enterprise,27,36.48,2,Card,No,984.96,0
CUST00009,Male,59,Basic,16,12.47,1,Card,Yes,199.52,0
CUST00010,Female,52,Premium,38,25.22,2,Card,Yes,958.36,0
CUST00011,Male,67,Basic,7,22.34,0,Card,Yes,156.38,0
CUST00012,Male,35,Premium,44,35.37,1,Bank Transfer,No,1556.28,1
CUST00013,Male,34,Premium,23,19.36,0,Card,No,445.28,0
CUST00014,Male,41,Basic,41,29.15,1,Card,No,1195.15,0
CUST00015,Female,20,Basic,59,13.29,1,Card,Yes,784.11,1
CUST00016,Male,49,Premium,11,47.74,2,Bank Transfer,No,525.14,0
CUST00017,Female,52,Basic,42,22.6,0,Wallet,Yes,949.2,0
CUST00018,Female,55,Premium,53,25.09,2,Bank Transfer,Yes,1329.77,0
CUST00019,Female,30,Basic,33,41.55,0,Wallet,No,1371.15,0
CUST00020,Male,64,Enterprise,50,19.13,2,Wallet,Yes,956.5,0
CUST00021,Female,42,Premium,36,41.67,1,Card,Yes,1500.12,0
CUST00022,Male,26,Enterprise,37,20.89,1,Card,Yes,772.93,0
CUST00023,Female,21,Basic,41,31.72,1,Card,Yes,1300.52,0
CUST00024,Female,31,Premium,59,19.27,1,Bank Transfer,Yes,1136.93,0
CUST00025,Female,54,Premium,17,11.44,0,Bank Transfer,No,194.48,0
CUST00026,Female,51,Basic,35,29.15,1,Card,Yes,1020.25,0
CUST00027,Female,28,Basic,48,31.4,2,Bank Transfer,Yes,1507.2,0
CUST00028,Female,58,Basic,5,11.84,0,Bank Transfer,No,59.2,0
CUST00029,Female,20,Premium,48,21.93,1,Wallet,No,1052.64,0
CUST00030,Female,45,Premium,32,37.01,1,Bank Transfer,Yes,1184.32,0
CUST00031,Male,46,Basic,3,31.0,1,Wallet,Yes,93.0,0
CUST00032,Male,26,Premium,52,21.05,0,Card,Yes,1094.6,1
CUST00033,Female,20,Basic,47,19.02,0,Bank Transfer,Yes,893.94,0
CUST00034,Female,42,Basic,35,44.48,0,Wallet,Yes,1556.8,0
CUST00035,Female,51,Enterprise,52,10.53,2,Bank Transfer,Yes,547.56,0
CUST00036,Male,29,Enterprise,14,24.41,0,Wallet,Yes,341.74,1
CUST00037,Female,59,Premium,48,10.35,3,Wallet,Yes,496.8,0
CUST00038,Male,26,Basic,31,38.15,3,Bank Transfer,Yes,1182.65,1
CUST00039,Male,32,Premium,31,24.93,1,Card,Yes,772.83,1
CUST00040,Male,57,Basic,17,26.78,1,Wallet,Yes,455.26,1
CUST00041,Male,42,Basic,24,52.69,2,Card,Yes,1264.56,0
CUST00042,Male,22,Basic,52,19.07,2,Bank Transfer,Yes,991.64,0
CUST00043,Female,28,Premium,23,42.49,3,Bank Transfer,Yes,977.27,0
CUST00044,Female,51,Premium,18,21.09,3,Card,Yes,379.62,0
CUST00045,Female,41,Basic,50,22.66,2,Bank Transfer,No,1133.0,1
CUST00046,Female,32,Premium,54,51.38,3,Wallet,Yes,2774.52,0
CUST00047,Female,55,Enterprise,14,23.39,0,Card,Yes,327.46,1
CUST00048,Male,25,Basic,50,11.26,1,Bank Transfer,Yes,563.0,0
CUST00049,Female,22,Premium,15,27.82,0,Bank Transfer,Yes,417.3,0
CUST00050,Female,65,Enterprise,15,23.27,1,Card,No,349.05,0
CUST00051,Male,43,Basic,6,28.67,1,Wallet,Yes,172.02,1
CUST00052,Female,35,Basic,27,23.66,2,Card,Yes,638.82,1
CUST00053,Male,23,Premium,15,47.16,0,Bank Transfer,Yes,707.4,0
CUST00054,Female,54,Premium,50,30.57,2,Bank Transfer,No,1528.5,0
CUST00055,Male,65,Premium,36,14.25,1,Card,No,513.0,0
CUST00056,Female,30,Basic,55,26.25,2,Wallet,Yes,1443.75,0
CUST00057,Female,45,Enterprise,8,17.0,0,Wallet,Yes,136.0,0
CUST00058,Male,22,Basic,15,22.52,0,Wallet,No,337.8,0
CUST00059,Male,30,Basic,3,15.9,0,Card,No,47.7,0
CUST00060,Male,34,Premium,47,46.07,1,Wallet,Yes,2165.29,1
CUST00061,Male,67,Basic,13,18.09,1,Wallet,Yes,235.17,0
CUST00062,Male,57,Basic,41,31.88,2,Wallet,Yes,1307.08,0
CUST00063,Male,62,Basic,34,21.77,1,Wallet,Yes,740.18,0
CUST00064,Male,49,Basic,24,13.42,1,Bank Transfer,Yes,322.08,0
CUST00065,Male,46,Basic,40,26.98,3,Card,Yes,1079.2,0
CUST00066,Female,68,Enterprise,32,29.01,2,Card,No,928.32,0
CUST00067,Female,20,Basic,32,30.59,1,Wallet,Yes,978.88,0
CUST00068,Male,57,Premium,30,-1.22,1,Card,No,-36.6,0
CUST00069,Female,51,Premium,52,12.65,2,Card,Yes,657.8,0
CUST00070,Female,57,Enterprise,49,34.58,0,Bank Transfer,No,1694.42,1
CUST00071,Female,44,Basic,13,15.76,2,Card,Yes,204.88,0
CUST00072,Female,30,Enterprise,1,27.03,1,Bank Transfer,Yes,27.03,0
CUST00073,Male,62,Premium,34,12.42,2,Card,Yes,422.28,0
CUST00074,Female,50,Premium,15,32.32,2,Bank Transfer,Yes,484.8,0
CUST00075,Male,23,Premium,44,34.31,1,Bank Transfer,No,1509.64,0
CUST00076,Female,41,Premium,14,32.32,2,Card,Yes,452.48,0
CUST00077,Female,36,Basic,57,35.33,0,Bank Transfer,Yes,2013.81,1
CUST00078,Female,33,Premium,29,40.64,2,Bank Transfer,Yes,1178.56,0
